a,tauU/tau0,muU/muABL,diff,Uon/Uoff,diff,UT,diff,列番号,列（英語表記）
0.004,0.534875398,0.474993016,0.006562908,1.01655607,0.010094867,67.10443589,1.186227939,38,AL
,,,,,,,,,
