;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|1;0.07801;0.06491;20.00;9.417;4.656;1.672;0.4944;0.009755;0.4591;0.001025;0.05796;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|2;0.1237;0.1106;20.00;15.45;6.623;2.675;0.4288;0.007384;0.4051;0.001241;0.07019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|3;0.1701;0.1570;20.00;19.06;2.189;3.053;0.1149;0.007897;0.1144;0.001515;0.08567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|4;0.2164;0.2033;20.00;17.76;1.861;2.842;0.1048;0.01037;0.1044;0.001853;0.1048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|5;0.2625;0.2494;20.00;19.55;0.9079;3.114;0.04645;0.01155;0.04642;0.002260;0.1278;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|6;0.3102;0.2971;20.00;18.71;1.277;2.985;0.06826;0.01473;0.06815;0.002763;0.1563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|7;0.3564;0.3433;20.00;18.13;1.910;2.901;0.1054;0.01853;0.1050;0.003377;0.1910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|8;0.4052;0.3921;20.00;18.00;3.315;2.914;0.1841;0.02253;0.1821;0.004124;0.2333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|9;0.4541;0.4410;20.00;17.77;3.879;2.895;0.2183;0.02770;0.2150;0.005038;0.2850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|10;0.5013;0.4882;20.00;17.15;4.080;2.806;0.2379;0.03493;0.2335;0.006158;0.3483;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|11;0.5495;0.5364;20.00;17.38;4.569;2.860;0.2629;0.04185;0.2571;0.007520;0.4253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|12;0.5945;0.5814;20.00;16.90;4.495;2.784;0.2659;0.05255;0.2599;0.009191;0.5198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|13;0.6411;0.6280;20.00;17.23;4.555;2.836;0.2644;0.06300;0.2585;0.01122;0.6349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|14;0.6879;0.6748;20.00;17.04;4.602;2.810;0.2700;0.07769;0.2637;0.01371;0.7757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|15;0.7340;0.7209;20.00;17.25;4.740;2.847;0.2748;0.09363;0.2682;0.01675;0.9475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|16;0.7800;0.7669;20.00;17.12;4.916;2.835;0.2871;0.1149;0.2796;0.02047;1.158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|17;0.8264;0.8133;20.00;17.09;5.177;2.842;0.3030;0.1400;0.2942;0.02500;1.414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|18;0.8724;0.8593;20.00;17.45;5.123;2.894;0.2936;0.1679;0.2855;0.03053;1.727;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|19;0.9182;0.9051;20.00;17.34;5.337;2.887;0.3079;0.2056;0.2987;0.03730;2.110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|20;0.9645;0.9514;20.00;17.65;5.090;2.923;0.2884;0.2481;0.2808;0.04557;2.577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|21;1.013;0.9999;20.00;17.66;5.145;2.927;0.2914;0.3026;0.2835;0.05566;3.148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|22;1.061;1.048;20.00;17.83;5.094;2.952;0.2857;0.3666;0.2782;0.06800;3.846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
