;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|17;0.8238;0.8104;20.00;0.4645;0.4583;0.1039;0.9868;4.977;0.7787;0.03248;1.837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|18;0.8702;0.8568;20.00;0.4627;0.4563;0.1034;0.9863;6.111;0.7785;0.03971;2.246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|19;0.9176;0.9042;20.00;0.4658;0.4588;0.1041;0.9849;7.415;0.7778;0.04848;2.742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|20;0.9636;0.9502;20.00;0.4645;0.4608;0.1041;0.9920;9.033;0.7814;0.05910;3.343;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|21;1.011;0.9980;20.00;0.4695;0.4673;0.1054;0.9952;10.86;0.7830;0.07196;4.070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|22;1.059;1.045;20.00;0.4655;0.4637;0.1046;0.9963;13.40;0.7835;0.08803;4.979;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|23;1.106;1.093;20.00;0.4652;0.4655;0.1047;1.001;16.32;0.7857;0.1074;6.074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|24;1.152;1.139;20.00;0.4623;0.4637;0.1042;1.003;20.04;0.7869;0.1312;7.423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|25;1.199;1.185;20.00;0.4603;0.4655;0.1042;1.011;24.44;0.7911;0.1600;9.049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|26;1.246;1.232;20.00;0.4605;0.4664;0.1043;1.013;29.81;0.7918;0.1953;11.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|27;1.292;1.278;20.00;0.4558;0.4653;0.1037;1.021;36.60;0.7956;0.2384;13.49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|28;1.338;1.324;20.00;0.4483;0.4635;0.1026;1.034;45.10;0.8021;0.2908;16.45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|29;1.420;1.406;20.00;0.4498;0.4165;0.09757;0.9261;60.41;0.7470;0.3704;20.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|30;1.466;1.453;20.00;0.4337;0.4627;0.1009;1.067;68.07;0.8178;0.4317;24.42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|31;1.515;1.501;20.00;0.4180;0.4598;0.09890;1.100;84.43;0.8331;0.5247;29.67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|32;1.563;1.549;20.00;0.3942;0.4523;0.09549;1.147;106.1;0.8539;0.6366;36.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|33;1.610;1.597;20.00;0.3667;0.4378;0.09089;1.194;135.4;0.8736;0.7734;43.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|34;1.658;1.644;20.00;0.3330;0.4215;0.08548;1.266;173.7;0.9022;0.9330;52.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|35;1.704;1.691;20.00;0.2861;0.3962;0.07778;1.385;227.2;0.9453;1.111;62.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|36;1.750;1.737;20.00;0.2434;0.3713;0.07066;1.526;294.4;0.9907;1.307;73.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|37;1.797;1.783;20.00;0.2076;0.3425;0.06375;1.650;382.9;1.026;1.534;86.75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|38;1.843;1.830;20.00;0.1716;0.3160;0.05723;1.842;489.6;1.073;1.760;99.56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|39;1.889;1.876;20.00;0.1422;0.2900;0.05141;2.040;621.5;1.115;2.008;113.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|40;1.936;1.922;20.00;0.1268;0.2662;0.04693;2.099;793.2;1.126;2.339;132.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|41;1.982;1.969;20.00;0.1113;0.2453;0.04287;2.205;998.9;1.145;2.690;152.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|42;2.028;2.015;20.00;0.09790;0.2271;0.03936;2.320;1247;1.164;3.085;174.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|43;2.075;2.061;20.00;0.08624;0.2111;0.03629;2.448;1547;1.183;3.529;199.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|44;2.122;2.109;20.00;0.08465;0.1986;0.03437;2.347;1943;1.168;4.196;237.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|45;2.170;2.156;20.00;0.05834;0.1835;0.03065;3.146;2299;1.263;4.427;250.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|46;2.217;2.203;20.00;0.05786;0.1748;0.02930;3.020;2859;1.251;5.263;297.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|47;2.265;2.252;20.00;0.05838;0.1676;0.02825;2.872;3551;1.236;6.304;356.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|48;2.313;2.300;20.00;0.05978;0.1554;0.02649;2.599;4472;1.203;7.443;421.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|49;2.361;2.348;20.00;0.05572;0.1464;0.02494;2.628;5496;1.207;8.611;487.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|50;2.410;2.396;20.00;0.05291;0.1396;0.02376;2.638;6746;1.208;10.07;569.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|51;2.457;2.443;20.00;0.05201;0.1351;0.02304;2.597;8290;1.203;12.00;678.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|52;2.502;2.489;20.00;0.04869;0.1283;0.02184;2.635;10150;1.208;13.92;787.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|53;2.549;2.536;20.00;0.04098;0.1166;0.01967;2.845;12330;1.233;15.24;861.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|54;2.595;2.582;20.00;0.03721;0.1089;0.01831;2.925;15060;1.241;17.32;979.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|55;2.641;2.628;20.00;0.03855;0.1081;0.01826;2.804;18500;1.228;21.23;1201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|56;2.688;2.674;20.00;0.03371;0.09895;0.01664;2.936;22530;1.242;23.55;1332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|57;2.734;2.721;20.00;0.03987;0.1054;0.01794;2.645;27850;1.209;31.39;1776;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|58;2.780;2.767;20.00;0.03099;0.09100;0.01530;2.937;33660;1.243;32.36;1830;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|59;2.827;2.813;20.00;0.03189;0.09196;0.01549;2.884;41210;1.237;40.10;2268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|60;2.875;2.862;20.00;0.03005;0.08951;0.01503;2.979;50170;1.247;47.37;2679;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|61;2.922;2.909;20.00;0.07795;0.1410;0.02564;1.809;65960;1.066;106.3;6011;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|62;2.969;2.956;20.00;0.07701;0.1453;0.02617;1.886;79560;1.083;130.8;7399;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|63;3.018;3.005;20.00;0.07270;0.1471;0.02612;2.024;95460;1.112;156.7;8861;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|64;3.066;3.052;20.00;0.02934;0.1117;0.01838;3.807;108200;1.314;124.9;7064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|65;3.114;3.101;20.00;0.01690;0.1023;0.01650;6.056;128500;1.407;133.3;7538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|66;3.162;3.148;20.00;0.01514;0.1216;0.01951;8.035;152100;1.447;186.4;10540;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|67;3.208;3.194;20.00;0.0005932;0.1257;0.02000;211.8;176900;1.566;222.3;12570;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|68;3.254;3.240;20.00;0.01431;0.1480;0.02366;10.34;201100;1.474;299.0;16910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|69;3.300;3.287;20.00;0.03170;0.1863;0.03007;5.875;223100;1.402;421.6;23850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|70;3.347;3.333;20.00;0.05216;0.2444;0.03978;4.686;240300;1.361;600.7;33970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
