;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|1;0.07807;0.06469;20.00;0.5845;0.4273;0.1152;0.7310;0.1907;0.6312;0.001381;0.07809;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|2;0.1234;0.1101;20.00;0.5433;0.5466;0.1227;1.006;0.2012;0.7884;0.001551;0.08772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|3;0.1709;0.1575;20.00;0.5121;0.4959;0.1135;0.9685;0.2724;0.7694;0.001942;0.1098;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|4;0.2170;0.2036;20.00;0.4833;0.4606;0.1063;0.9531;0.3618;0.7614;0.002415;0.1366;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|5;0.2630;0.2496;20.00;0.4729;0.4355;0.1023;0.9209;0.4671;0.7443;0.003003;0.1699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|6;0.3099;0.2966;20.00;0.4771;0.4519;0.1046;0.9471;0.5513;0.7583;0.003623;0.2049;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|7;0.3575;0.3441;20.00;0.4737;0.4499;0.1040;0.9498;0.6779;0.7597;0.004429;0.2505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|8;0.4055;0.3921;20.00;0.4703;0.4536;0.1040;0.9646;0.8247;0.7674;0.005388;0.3048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|9;0.4532;0.4398;20.00;0.4685;0.4625;0.1048;0.9872;0.9922;0.7790;0.006532;0.3695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|10;0.5002;0.4868;20.00;0.4687;0.4552;0.1040;0.9712;1.229;0.7708;0.008028;0.4541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|11;0.5460;0.5326;20.00;0.4674;0.4561;0.1039;0.9758;1.500;0.7732;0.009796;0.5541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|12;0.5926;0.5792;20.00;0.4649;0.4566;0.1037;0.9822;1.834;0.7764;0.01195;0.6760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|13;0.6385;0.6251;20.00;0.4658;0.4572;0.1039;0.9816;2.237;0.7761;0.01460;0.8258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|14;0.6842;0.6708;20.00;0.4628;0.4564;0.1035;0.9863;2.743;0.7785;0.01783;1.008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|15;0.7307;0.7174;20.00;0.4633;0.4512;0.1029;0.9739;3.383;0.7722;0.02188;1.237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|16;0.7775;0.7641;20.00;0.4654;0.4579;0.1039;0.9840;4.074;0.7773;0.02660;1.505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
