;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|1;0.07802;0.06482;20.00;1.917;2.368;0.4849;1.236;0.03474;0.8904;0.001058;0.05986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|2;0.1254;0.1122;20.00;2.475;1.975;0.5041;0.7980;0.04138;0.6735;0.001311;0.07413;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|3;0.1717;0.1585;20.00;2.883;1.925;0.5517;0.6677;0.04612;0.5887;0.001599;0.09043;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|4;0.2178;0.2046;20.00;3.294;1.958;0.6098;0.5944;0.05076;0.5363;0.001945;0.1100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|5;0.2638;0.2506;20.00;3.418;1.970;0.6278;0.5764;0.06015;0.5229;0.002373;0.1342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|6;0.3095;0.2963;20.00;3.663;1.863;0.6540;0.5088;0.07050;0.4707;0.002897;0.1639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|7;0.3559;0.3427;20.00;3.746;1.900;0.6685;0.5072;0.08416;0.4694;0.003535;0.1999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|8;0.4020;0.3888;20.00;3.858;1.822;0.6791;0.4722;0.1012;0.4411;0.004318;0.2442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|9;0.4484;0.4352;20.00;3.944;1.734;0.6857;0.4396;0.1225;0.4141;0.005276;0.2984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|10;0.4947;0.4815;20.00;4.064;1.727;0.7028;0.4250;0.1458;0.4018;0.006439;0.3642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|11;0.5410;0.5278;20.00;4.053;1.736;0.7018;0.4284;0.1784;0.4048;0.007866;0.4449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|12;0.5890;0.5758;20.00;4.094;1.721;0.7069;0.4203;0.2163;0.3979;0.009607;0.5434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|13;0.6347;0.6215;20.00;4.054;1.696;0.6994;0.4183;0.2673;0.3962;0.01175;0.6643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|14;0.6831;0.6699;20.00;4.108;1.695;0.7072;0.4125;0.3227;0.3913;0.01434;0.8111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|15;0.7303;0.7171;20.00;4.108;1.687;0.7068;0.4108;0.3946;0.3898;0.01752;0.9910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
