;t [min];t_seg [min];T [Åé];G' [Pa];G'' [Pa];|É≈*| [Pas];tan(É¬) [-];É¡ [%];É¬ [rad];É— [Pa];M [É Nm];----;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|16;0.7773;0.7641;20.00;4.145;1.722;0.7144;0.4154;0.4765;0.3937;0.02139;1.210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|17;0.8234;0.8102;20.00;4.095;1.692;0.7052;0.4132;0.5902;0.3918;0.02615;1.479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|18;0.8695;0.8563;20.00;4.133;1.704;0.7115;0.4123;0.7143;0.3911;0.03193;1.806;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|19;0.9152;0.9020;20.00;4.135;1.708;0.7120;0.4130;0.8720;0.3916;0.03901;2.206;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|20;0.9616;0.9484;20.00;4.133;1.702;0.7114;0.4118;1.066;0.3907;0.04766;2.696;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|21;1.008;0.9945;20.00;4.142;1.706;0.7130;0.4119;1.300;0.3907;0.05822;3.293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|22;1.054;1.041;20.00;4.138;1.702;0.7122;0.4113;1.590;0.3902;0.07113;4.023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|23;1.100;1.087;20.00;4.171;1.717;0.7178;0.4118;1.926;0.3906;0.08686;4.913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|24;1.147;1.133;20.00;4.186;1.717;0.7201;0.4101;2.345;0.3891;0.1061;6.001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|25;1.193;1.180;20.00;4.170;1.710;0.7173;0.4101;2.877;0.3892;0.1296;7.333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|26;1.240;1.226;20.00;4.170;1.705;0.7171;0.4090;3.515;0.3882;0.1584;8.959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|27;1.287;1.274;20.00;4.201;1.688;0.7206;0.4018;4.273;0.3821;0.1935;10.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|28;1.335;1.322;20.00;4.190;1.686;0.7189;0.4023;5.234;0.3825;0.2364;13.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|29;1.382;1.369;20.00;4.188;1.702;0.7195;0.4064;6.388;0.3860;0.2888;16.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|30;1.431;1.417;20.00;4.198;1.717;0.7218;0.4090;7.776;0.3882;0.3527;19.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|31;1.476;1.463;20.00;4.190;1.708;0.7201;0.4076;9.525;0.3871;0.4309;24.37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|32;1.523;1.509;20.00;4.183;1.703;0.7189;0.4071;11.66;0.3866;0.5265;29.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|33;1.569;1.556;20.00;4.190;1.707;0.7201;0.4075;14.22;0.3869;0.6432;36.38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|34;1.615;1.602;20.00;4.176;1.717;0.7186;0.4111;17.40;0.3900;0.7858;44.44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|35;1.662;1.649;20.00;4.183;1.706;0.7190;0.4078;21.25;0.3873;0.9600;54.30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|36;1.744;1.731;20.00;4.037;1.642;0.6937;0.4068;26.97;0.3863;1.175;66.48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|37;1.790;1.777;20.00;4.180;1.694;0.7178;0.4052;31.77;0.3849;1.433;81.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|38;1.838;1.825;20.00;4.143;1.693;0.7123;0.4085;39.13;0.3878;1.751;99.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|39;1.886;1.873;20.00;4.080;1.688;0.7028;0.4136;48.49;0.3922;2.141;121.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|40;1.934;1.921;20.00;3.985;1.699;0.6894;0.4263;60.44;0.4030;2.618;148.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|41;1.982;1.969;20.00;3.843;1.693;0.6683;0.4407;76.29;0.4151;3.204;181.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|42;2.028;2.015;20.00;3.620;1.657;0.6336;0.4577;98.61;0.4293;3.926;222.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|43;2.075;2.062;20.00;3.297;1.613;0.5842;0.4893;131.3;0.4551;4.819;272.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|44;2.121;2.108;20.00;2.802;1.525;0.5077;0.5443;186.2;0.4985;5.940;336.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|45;2.166;2.153;20.00;2.056;1.343;0.3909;0.6531;301.1;0.5786;7.394;418.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|46;2.212;2.199;20.00;1.072;0.9778;0.2309;0.9125;650.9;0.7397;9.442;534.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|47;2.259;2.246;20.00;0.3698;0.5405;0.1042;1.462;1820;0.9707;11.92;674.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|48;2.305;2.292;20.00;0.1688;0.3564;0.06276;2.112;3248;1.129;12.81;724.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|49;2.352;2.339;20.00;0.1225;0.2988;0.05140;2.439;4377;1.182;14.14;799.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|50;2.398;2.385;20.00;0.09263;0.2616;0.04416;2.824;5607;1.230;15.56;880.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|51;2.446;2.433;20.00;0.08790;0.2324;0.03955;2.645;7302;1.209;18.15;1026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|52;2.492;2.478;20.00;0.07611;0.2106;0.03564;2.767;9171;1.224;20.54;1162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|53;2.540;2.527;20.00;0.04894;0.1915;0.03145;3.912;10950;1.320;21.63;1223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|54;2.589;2.575;20.00;0.04493;0.1774;0.02913;3.948;13620;1.323;24.93;1410;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|55;2.636;2.622;20.00;0.06413;0.1673;0.02852;2.609;17930;1.205;32.12;1817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|56;2.684;2.670;20.00;0.06428;0.1599;0.02742;2.487;22270;1.188;38.37;2170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|57;2.730;2.717;20.00;0.06775;0.1564;0.02713;2.309;27700;1.162;47.22;2671;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|58;2.777;2.764;20.00;0.06299;0.1499;0.02588;2.380;33820;1.173;55.01;3111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|59;2.823;2.810;20.00;0.05900;0.1435;0.02469;2.432;41370;1.181;64.18;3630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|60;2.869;2.856;20.00;0.06824;0.1714;0.02935;2.511;48910;1.192;90.21;5102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|61;2.915;2.902;20.00;0.06478;0.1783;0.03018;2.752;58260;1.222;110.5;6250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|62;2.960;2.947;20.00;0.04894;0.1606;0.02672;3.282;70690;1.275;118.7;6713;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|63;3.007;2.994;20.00;0.03631;0.1596;0.02605;4.396;83460;1.347;136.6;7726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|64;3.053;3.040;20.00;0.03286;0.1722;0.02790;5.240;98650;1.382;172.9;9781;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|65;3.099;3.086;20.00;0.03096;0.1566;0.02541;5.058;123400;1.376;196.9;11140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|66;3.146;3.133;20.00;0.02138;0.1720;0.02759;8.045;142800;1.447;247.6;14000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|67;3.193;3.179;20.00;0.02071;0.1932;0.03093;9.330;167700;1.464;325.8;18430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|68;3.240;3.227;20.00;0.009194;0.2209;0.03518;24.02;189700;1.529;419.4;23720;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|69;3.288;3.275;20.00;0.02720;0.2398;0.03842;8.817;208100;1.458;502.2;28400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1|70;3.336;3.323;20.00;0.05237;0.2833;0.04585;5.409;227100;1.388;654.1;37000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
