0.000000,0.000000,0.000000
0.400000,31.707162,8.552843
0.800001,33.441608,4.048255
1.200001,34.248234,2.003947
1.600001,35.496684,2.644622
2.000000,36.239435,0.897542
2.400001,37.102430,1.688813
2.800000,41.221135,2.611949
3.200001,42.141929,1.745986
3.600000,41.214901,1.209322
4.000000,41.772251,1.741557
4.400000,46.800760,3.304998
4.800000,52.790954,3.104837
5.200000,55.625886,3.052045
5.600000,61.094164,3.123702
6.000001,62.269981,2.043848
6.400000,62.083339,1.537194
6.800000,65.189803,2.984165
7.200000,69.848447,2.951885
7.600001,69.912752,0.000000
