rho,n-1/n,,UT,diff,Uon/Uoff,diff,1/n,rho^1/n
2700,-2.5,8.39224E-09,0.021023416,0.002462857,1.076478543,0.024475786,3.5,2.02568E+11
3800,-2.5,2.41049E-09,0.057200906,0.008833655,1.118238753,0.03536135,3.5,1.16159E+12
7900,-2.5,2.52858E-10,0.142023183,0.00927701,1.17072095,0.040192879,3.5,2.7288E+13
8650,-2.5,1.95365E-10,0.211008869,0.040411041,1.150223982,0.059291234,3.5,3.91575E+13
