rho,n-1/n,,UT,diff,Uon/Uoff,diff,1/n,rho^1/n
2700,-2.333333333,2.89925E-08,0.036146438,0.001550707,0.994463742,0.013311901,3.333333333,58635829074
3800,-2.333333333,9.04964E-09,0.091881525,0.001607947,1.031230574,0.017462988,3.333333333,3.09405E+11
7900,-2.333333333,1.10328E-09,0.210657692,0.034077811,1.128079794,0.109772346,3.333333333,6.25408E+12
8650,-2.333333333,8.6721E-10,0.246721718,0.021748303,1.053306771,0.117229335,3.333333333,8.82141E+12
