rho,,UT,diff,Uon/Uoff,diff
2700,0.108420271,0.021023416,0.002462857,1.076478543,0.024475786
3800,0.003630942,0.057200906,0.008833655,1.118238753,0.03536135
7900,0.002937819,0.142023183,0.00927701,1.17072095,0.040192879
8650,0.001686531,0.211008869,0.040411041,1.150223982,0.059291234
