rho,,UT,diff,Uon/Uoff,diff
2700,0.847191623,0.002049252,0.000166262,1.125950965,0.145679665
3800,0.192102377,0.021598965,0.001688652,1.074940284,0.042564413
7900,0.006660725,0.083131143,0.014918288,1.126019162,0.102460403
8650,0.006100987,0.098093329,0.020223236,1.037947163,0.027569644
