rho,,UT,diff,Uon/Uoff,diff
2700,0.003966802,0.449971713,0.018547487,1.003093481,0.018549212
3800,0.003217544,0.800051243,0.010532422,0.99470133,0.005809628
7900,0.000966648,1.18705496,0.021946543,1.010495383,0.00720292
8650,0.000898359,1.254019621,0.024625193,1.02056866,0.032644821
