rho,,UT,diff,Uon/Uoff,diff
2700,2.48E-01,0.036146438,0.001550707,0.994463742,0.013311901
3800,2.75E-02,0.091881525,0.001607947,1.031230574,0.017462988
7900,4.95E-03,0.210657692,0.034077811,1.128079794,0.109772346
8650,3.64E-03,0.246721718,0.021748303,1.053306771,0.117229335
