0.000000,0.000000,0.000000
0.750000,8.262562,4.513407
1.500000,6.990717,5.172638
2.250001,8.057823,5.152924
3.000001,9.456746,4.446106
3.750000,11.211518,3.648218
4.500001,12.477323,3.256822
5.250000,13.747593,2.849627
6.000001,14.784600,2.558634
6.750000,15.532475,2.646646
7.500001,16.245419,2.388299
8.250001,16.670880,2.536387
9.000001,17.190199,2.190522
9.750001,17.709162,2.027113
10.500000,18.425676,1.659975
11.250000,18.553609,2.142164
12.000000,19.169527,1.554066
12.750000,19.560952,1.730865
13.500000,19.949192,1.758788
14.250000,20.566778,1.603342
15.000000,20.957467,1.580175
15.750000,21.566647,1.638272
16.500000,22.014136,1.880902
17.250000,22.516531,1.825874
18.000000,23.004457,1.869357
18.750000,23.052425,1.641927
19.500000,23.334088,0.984993
20.250000,22.954142,0.485159
21.000000,23.465815,0.432913
21.750000,23.318714,0.561487
22.500000,22.514620,0.000000
