y,max,min,ave
0,250.9493671,199.6835443,225.3164557
5,262.9746835,225.3164557,244.1455696
10,229.4303797,197.7848101,213.6075949
15,156.0126582,140.1898734,148.1012658
20,84.81012658,71.20253165,78.00632911
25,148.1012658,110.7594937,129.4303797
30,175.9493671,146.2025316,161.0759494
35,219.3037975,175.9493671,197.6265823
40,227.2151899,205.6962025,216.4556962
45,219.3037975,197.7848101,208.5443038
50,183.8607595,158.2278481,171.0443038
55,110.7594937,90.82278481,100.7911392
60,100.6329114,82.91139241,91.7721519
65,154.1139241,124.3670886,139.2405063
70,184.1772152,156.0126582,170.0949367
75,199.6835443,177.8481013,188.7658228
80,213.6075949,189.8734177,201.7405063
85,179.7468354,166.1392405,172.943038
90,132.278481,116.7721519,124.5253165
95,75,61.07594937,68.03797468
100,108.5443038,92.72151899,100.6329114
105,183.8607595,140.1898734,162.0253165
110,199.6835443,169.9367089,184.8101266
115,211.3924051,185.7594937,198.5759494
120,201.5822785,181.9620253,191.7721519
125,160.1265823,144.3037975,152.2151899
130,94.93670886,81.01265823,87.97468354
135,73.10126582,51.26582278,62.1835443
140,134.4936709,112.6582278,123.5759494
145,175.9493671,163.9240506,169.9367089
150,231.3291139,203.4810127,217.4050633
155,239.2405063,203.4810127,221.3607595
160,160.1265823,140.1898734,150.1582278
165,88.92405063,76.89873418,82.91139241
170,75,55.37974684,65.18987342
175,118.6708861,100.6329114,109.6518987
180,193.6708861,163.9240506,178.7974684
185,219.3037975,193.6708861,206.4873418
190,207.5949367,191.7721519,199.6835443
195,183.8607595,168.0379747,175.9493671
200,98.73417722,84.81012658,91.7721519
205,61.07594937,47.46835443,54.2721519
210,128.4810127,98.73417722,113.6075949
215,142.4050633,122.4683544,132.4367089
220,201.5822785,181.9620253,191.7721519
225,215.5063291,207.5949367,211.5506329
230,189.8734177,183.8607595,186.8670886
235,124.3670886,118.6708861,121.5189873
240,51.26582278,33.5443038,42.40506329
245,79.11392405,63.29113924,71.20253165
250,140.1898734,112.6582278,126.4240506
255,195.5696203,179.7468354,187.6582278
260,215.5063291,203.4810127,209.4936709
265,205.6962025,191.7721519,198.7341772
270,152.2151899,142.4050633,147.3101266
275,55.37974684,49.36708861,52.37341772
280,82.91139241,67.08860759,75
285,146.2025316,122.4683544,134.335443
290,207.5949367,154.1139241,180.8544304
295,207.5949367,189.8734177,198.7341772
300,203.4810127,191.7721519,197.6265823
305,144.3037975,126.5822785,135.443038
310,84.81012658,76.89873418,80.85443038
315,23.73417722,15.82278481,19.77848101
320,79.11392405,68.98734177,74.05063291
325,148.1012658,140.1898734,144.1455696
330,191.7721519,179.7468354,185.7594937
335,191.7721519,185.7594937,188.7658228
340,146.2025316,140.1898734,143.1962025
345,98.73417722,88.92405063,93.82911392
350,23.73417722,19.77848101,21.75632911
355,84.81012658,79.11392405,81.96202532
360,136.0759494,124.3670886,130.221519
365,183.8607595,171.835443,177.8481013
370,183.8607595,171.835443,177.8481013
375,160.1265823,152.2151899,156.1708861
380,118.6708861,114.556962,116.6139241
385,68.98734177,63.29113924,66.13924051
