y,max,min,ave
0,9.62,9.37,300.4746835
5,9.5,9.12,294.6202532
10,8.87,8.81,279.7468354
15,4.56,4.18,138.2911392
20,5,3.93,141.2974684
25,7.81,6.68,229.2721519
30,8.87,8.68,277.6898734
35,9,8.81,281.8037975
40,9.12,8.81,283.7025316
45,8.87,8.62,276.7405063
50,5.93,5.37,178.7974684
55,2.56,2.25,76.10759494
60,4.06,3.62,121.5189873
65,6.62,5.81,196.6772152
70,8.37,7.12,245.0949367
75,8.93,8.75,279.7468354
80,8.93,8.75,279.7468354
85,7.5,6.31,218.5126582
90,3.87,3.56,117.5632911
95,3,2.5,87.02531646
100,6,4.37,164.0822785
105,7.75,6.62,227.3734177
110,8.87,8.43,273.7341772
115,8.93,8.81,280.6962025
120,8.75,8.5,272.943038
125,4.56,4,135.443038
130,3.5,2.62,96.83544304
135,8,6.75,233.3860759
140,8.93,8.63,277.8481013
145,8.87,8.75,278.7974684
150,8.87,8.81,279.7468354
155,8.37,7.75,255.0632911
160,4.75,4.37,144.3037975
165,2.12,1.56,58.2278481
170,4.12,3.37,118.5126582
175,6.68,6.06,201.5822785
180,8.68,7.56,256.9620253
185,8.81,8.75,277.8481013
190,8.93,8.81,280.6962025
195,5.93,4.06,158.0696203
200,1.68,1.31,47.31012658
205,4,3.37,116.6139241
210,6.25,5.18,180.8544304
215,8.18,6.87,238.1329114
220,8.87,8.68,277.6898734
225,8.93,8.81,280.6962025
230,6.93,5.93,203.4810127
235,2.75,2.37,81.01265823
240,3.37,2.81,97.78481013
245,5.81,5.12,172.943038
250,8.68,8.31,268.8291139
255,8.87,8.75,278.7974684
260,9.18,8.87,285.6012658
265,6.37,6,195.7278481
270,3.06,2.87,93.82911392
275,1.87,1.5,53.32278481
280,5.25,4.43,153.164557
285,6.75,6,201.7405063
290,8.5,8.12,262.9746835
295,8.87,8.75,278.7974684
300,8.43,8.12,261.8670886
305,4,3.62,120.5696203
310,1.5,1.12,41.4556962
315,3.62,3.31,109.6518987
320,6.62,6,199.6835443
325,8.68,8.12,265.8227848
330,8.75,8.5,272.943038
335,8.75,8.31,269.9367089
340,5,4.37,148.2594937
345,1.62,1.37,47.31012658
350,3.68,3.31,110.6012658
355,6.25,5.68,188.7658228
360,5.87,5.43,178.7974684
365,7.18,6.81,221.3607595
370,8,7.56,246.2025316
375,6.75,6.43,208.5443038
380,4.12,3.75,124.5253165
