y,min,max,ave
0,71.57229166,83.47174505,219.2329031
5,71.5138501,82.42528359,215.9193655
10,65.96701875,78.42135872,204.1293358
15,53.69620252,65.99469833,125.0667844
20,45.74223245,52.92703023,115.9738205
25,46.64838484,61.50986357,162.2092307
30,53.79169407,71.11449945,193.4181325
35,62.6397337,75.03076198,201.7405064
40,63.62288343,79.34606693,205.2852211
45,63.96348429,74.0135213,199.5057948
50,51.43516768,62.72129294,141.4032961
55,37.77272727,48.25589758,78.90843334
60,39.42795496,52.00546607,103.0279056
65,51.77120664,68.32970985,152.8080306
70,63.71997779,80.98890351,187.9469423
75,68.77036412,89.95099047,211.2958244
80,64.45505917,76.85095758,202.5881555
85,58.05626338,67.9567442,166.0621815
90,43.65072744,51.20565511,102.8737876
95,34.75053428,47.91529673,82.3760891
100,49.15748808,58.38132911,131.1544468
105,63.41802974,78.74186255,178.3145652
110,65.35054661,80.08571016,201.8175654
115,67.84565591,80.7331292,206.6722834
120,62.51798045,73.95507974,196.9628473
125,44.60323854,54.34818346,113.3538139
130,35.76463094,43.65843334,85.38139076
135,32.71617623,40.27566579,146.5662502
140,26.38790482,36.41359116,162.4404077
145,39.92107102,50.9591279,176.9275029
150,57.64464492,66.86250619,194.1887227
155,67.11057453,75.43923638,191.5687161
160,69.66289247,82.42374239,144.1003617
165,60.67614662,70.1128555,92.85611542
170,35.60422489,44.94840128,96.16965312
175,41.16628309,50.57377117,140.940942
180,55.70269602,65.32903174,181.7051619
185,65.93779797,79.77920021,203.8981588
190,68.30801002,82.73666367,207.9052276
195,66.38461695,81.34806015,148.4156666
200,53.68066744,62.28520057,80.29549562
205,31.23047838,40.17074223,90.69846295
210,27.08624445,38.12399309,117.9002959
215,44.82504521,56.20826484,162.8257028
220,56.7199367,68.18625677,193.4181325
225,66.45859364,83.19901778,207.2116965
230,63.94338731,76.0940531,165.9851225
235,55.74295169,65.57555893,98.86671873
240,43.40722094,51.91922162,93.78082361
245,22.09429969,29.46416242,107.3432106
250,35.5132336,45.8130651,167.4492438
255,53.32933997,66.3709313,191.3375391
260,64.57681242,75.52233682,204.745808
265,66.13654856,77.51520633,164.1357061
270,65.91159789,80.76851469,117.5920598
275,48.99554085,61.29890679,80.29549564
280,27.98629377,37.75873335,105.1084991
285,25.32621651,33.12921256,124.3732533
290,47.4467779,56.35467696,175.9257356
295,60.11053344,72.53565263,197.8104965
300,70.53039209,81.01356239,199.2746178
305,59.12584252,74.9690531,123.9108993
310,47.89063784,55.41147458,71.20253162
315,28.73364294,36.75092471,84.45668254
320,25.26290482,32.20450436,122.909132
325,47.53444024,58.35821143,178.3145652
330,70.22388214,78.7327388,203.2046277
335,68.68270179,83.41786534,203.3587457
340,66.85640308,79.18726369,142.9444764
345,52.26438433,61.2355951,79.06255139
350,31.99934243,38.60034112,87.46198421
355,21.22975916,28.65806345,113.9702861
360,47.55299606,57.97285466,137.0879911
365,63.60278644,77.90968685,175.1551455
370,68.77979615,81.20318922,191.1063619
375,67.2463217,79.11168419,171.5333717
380,57.33486765,67.78881721,121.2908927
385,89.38845964,101.1014303,95.24494493
390,47.16011836,54.86602005,51.01306921
