y,min,max,ave
0,180.0105873,143.1521082,290.022338
5,187.8378304,161.232083,296.875
10,164.3223241,141.7349776,270.0169862
15,112.3393568,101.0212351,205.5798585
20,61.59641195,51.74184196,123.4584419
25,105.8071342,79.19891104,156.6164836
30,126.1749255,104.4389008,200.8272059
35,157.1577997,126.0491903,250.5642685
40,162.4256841,146.953965,261.616949
45,156.9412556,141.5184335,258.190618
50,131.7012658,113.5374674,218.8430752
55,80.07207281,65.88723939,151.863831
60,72.86563664,59.96273735,137.1637658
65,110.272594,88.87884865,170.4323343
70,131.7965841,111.4242833,207.2377606
75,143.2778434,127.3266149,240.8379095
80,152.9622906,136.034005,254.1011262
85,129.2257306,119.2803518,229.8957558
90,95.32026246,84.09745905,173.1955045
95,54.52720588,44.31886169,107.5425819
100,78.04271221,66.55694341,133.7374349
105,131.8339864,100.5462351,208.4535555
110,143.1032111,121.8002746,235.3115692
115,151.6314594,133.1183963,254.6537603
120,143.863724,129.8999441,226.4694248
125,114.2490832,102.847138,176.6218355
130,68.36277457,58.2452392,120.0321109
135,52.89353127,37.0331115,91.73724869
140,96.91653482,80.87449736,167.779691
145,126.3076461,117.3837118,218.0693876
150,165.7813663,145.9304868,278.1959699
155,171.0003537,145.5812221,270.5696203
160,115.122245,100.8954998,203.590376
165,64.31643243,55.58808638,122.3531739
170,54.56911765,40.25607316,104.8899386
175,85.68922191,72.34173958,153.1901526
180,138.819369,117.6002559,229.785229
185,157.2486085,138.7285601,262.9432707
190,148.8530808,137.3603267,254.1011262
195,131.4008982,119.9989529,211.3272524
200,71.06431497,61.03060313,125.5584512
205,44.45158228,34.28965934,84.11089911
210,92.31835446,71.10622673,153.8533134
215,102.9667722,88.60032109,196.0745533
220,144.9115181,130.6822971,255.4274479
225,154.330524,148.4130073,261.616949
230,136.1248138,131.5755305,235.5326229
235,89.31892218,85.07451603,158.053332
240,37.90627327,24.7379328,83.44773828
245,57.61744695,45.99895756,115.2794583
250,101.7197645,81.88037971,198.7271966
255,140.4041465,128.8764659,243.6010797
260,154.3794211,145.5812221,261.616949
265,147.5267591,137.4022385,254.1011262
270,109.0300959,101.870081,183.5850242
275,40.29798493,35.7487016,82.12141661
280,59.6623697,48.08579207,99.36359829
285,105.2212537,87.94370344,180.7113272
290,148.5876396,110.7056823,231.2220774
295,149.0696249,136.2505491,260.2906273
300,146.1051192,137.5768708,258.0800912
305,104.0276527,91.25747395,190.548213
310,60.98869136,55.15499814,106.8794211
315,18.32534438,12.27510704,60.78974311
320,58.18325577,50.58564315,135.8374442
325,107.6442666,101.7197645,227.0220588
330,138.4081208,129.4422747,261.616949
335,137.9750326,133.467661,254.1011262
340,105.1374302,100.7627792,192.5376955
345,70.71505026,63.59694713,116.60578
350,17.75255026,14.51438012,44.81861969
355,61.90376489,57.35899106,132.52164
360,98.7203323,90.23399571,202.1535276
365,132.3159717,123.4758609,240.1747488
370,132.2251629,123.3012286,235.9747301
375,115.171142,109.24664,207.7903947
380,85.38186897,82.33353963,157.3901713
385,49.4540255,45.34233991,84.11089911
