
3.75,3.368,0.084237759
7.5,1.9386,0.112674043
15,1.1106,0.056436159
37.5,0.5262,0.014330387
75,0.29974,0.010084166
150,0.17404,0.004301907
375,0.09072,0.002865938
750,0.06339,0.001525293
