rho,n-1/n,,Uon/Uoff,diff
2.7,-1.008032129,0.367427338,1.003093481,0.018549212
3.8,-1.008032129,0.260351154,0.99470133,0.005809628
7.9,-1.008032129,0.124498194,1.010495383,0.00720292
8.65,-1.008032129,0.113620752,1.02056866,0.032644821
