rho,n-1/n,,Uon/Uoff,diff
2.7,-2.5,0.083481566,1.076478543,0.024475786
3.8,-2.5,0.035525566,1.118238753,0.03536135
7.9,-2.5,0.005700754,1.17072095,0.040192879
8.65,-2.5,0.004544224,1.150223982,0.059291234
