rho,n-1/n,,Uon/Uoff,diff
2.7,-2.566666667,0.078132731,1.309160452,0.145352704
3.8,-2.566666667,0.032500405,1.171951276,0.087793219
7.9,-2.566666667,0.004966958,1.130898513,0.105607783
8.65,-2.566666667,0.003935428,1.12130593,0.049676066
