rho,n-1/n,,Uon/Uoff,diff
2.7,-2.333333333,0.09851096,1.364286858,0.169151378
3.8,-2.333333333,0.044378397,1.031230574,0.017462988
7.9,-2.333333333,0.008045199,1.128079794,0.109772346
8.65,-2.333333333,0.006510721,1.053306771,0.117229335
