x,y,y+,ydiff,x+,xdiff
1.805630027,1.076241611,1.227651007,0.151409396,2.002680965,0.197050938
1.085790885,1.052080537,1.028724832,0.023355705,1.085790885,0
0.928954424,1.020671141,1.017449664,0.003221477,0.928954424,0
0.486595174,1.004563758,1.010201342,0.005637584,0.486595174,0
0.31769437,0.998926174,1.015033557,0.016107383,0.31769437,0
